Corredor,Tramo principal,Rol logístico
MEX-15 / 15D,CDMX – Querétaro – Guadalajara – Tepic – Hermosillo – Nogales,Eje Pacífico; comercio frontera Arizona/California; acceso a Manzanillo/Ensenada.
MEX-57 / 57D,CDMX – San Luis Potosí – Saltillo – Piedras Negras,Eje industrial Bajío–Texas; backbone de exportación.
MEX-45 / 45D,Ciudad Juárez – Chihuahua – Durango – Zacatecas – Aguascalientes – Bajío,Eje altiplano norte; manufactura/auto.
MEX-85 / 85D,Nuevo Laredo – Monterrey – CDMX,Corredor NAFTA/USMCA más transitado; enlace a puertos del Golfo.
MEX-40 / 40D,Mazatlán – Durango – Saltillo – Monterrey – Reynosa/Matamoros,Corredor Mazatlán–Matamoros (túneles y supercarretera).
MEX-150 / 150D,CDMX – Puebla – Orizaba – Veracruz,Eje al Puerto de Veracruz; alta densidad de carga.
MEX-180 / 180D,Matamoros – Tampico – Veracruz – Villahermosa – Campeche – Mérida – Cancún,Eje del Golfo/Caribe; energía y agroindustria.
MEX-200,Tepic – Puerto Vallarta – Manzanillo – Lázaro – Acapulco – Tapachula,Costera del Pacífico; acceso a puertos y turismo/logística regional.
MEX-190 / 190D,CDMX – Oaxaca – Tehuantepec – Tapachula,Acceso al Istmo y frontera sur; enlace con CIIT.
MEX-186,Villahermosa – Chetumal,Sureste energético/agro; conexión con Caribe.
MEX-2,Litoral norte fronterizo (Tijuana – Matamoros),Eje fronterizo; cruces y maquila.
MEX-70,Tampico – San Luis Potosí – Guadalajara – Puerto Vallarta,Transversal Golfo–Pacífico.
