Puerto,Estado,TEU 2023 (millones),Notas
New York/New Jersey (PANYNJ),NY/NJ,6.66,"Gateway del Noreste; acceso a I-95, ferrocarriles CSX/NS."
Savannah (GPA),GA,4.33,Hub del Sudeste; red hacia Atlanta y Tennessee Valley.
Virginia (Norfolk/Virginia Int'l Gateway),VA,2.862,Profundidad 55'; conectividad ferroviaria doble-stack.
Charleston (SC Ports),SC,2.126,Puerto de gran calado; expansión en Leatherman Terminal.
Jacksonville (JAXPORT),FL,0.903,Puerta del Sudeste y Caribe; autos y contenedores.
Miami (PortMiami),FL,0.889,"Gateway Caribe/LatAm; túnel portuario, ferrocarril FEC."
Baltimore,MD,0.791,Autos y contenedores; canal 50'.
Port Everglades,FL,0.759,Especialidad reefer; Caribe/LatAm.
Philadelphia (PhilaPort),PA,0.729,Reefer/foods; expansión logística Delaware Valley.
Wilmington (NC Ports),NC,0.33,"Dato aprox. FY2023; productividad alta, servicios Asia/Europa."
