Puerto,País,TEU 2023 (millones),Relación con América
Shanghai,China,49.16,Principal origen Transpacífico a América.
Singapore,Singapur,39.01,Hub global de transbordo entre Asia–América/Europa.
Ningbo–Zhoushan,China,35.3,Volúmenes crecientes a la Costa Oeste y México.
Shenzhen (Yantian/Shekou),China,29.88,Electrónica/textil; rutas a MX/US/LatAm.
Guangzhou (Nansha),China,25.41,Puente con Golfo/Caribe vía Canal de Panamá.
Busan,Corea del Sur,23.04,Transbordo Asia–América; automotriz y partes.
Qingdao,China,28.77,Acero/autopartes; conexiones TP y costa este vía Suez.
Rotterdam,Países Bajos,13.45,Principal nodo Europa–América Atlántico.
Antwerp-Bruges,Bélgica,12.5,Químico/petroquímico; conexiones Ro-Ro/reefer con América.
Tanger Med,Marruecos,8.61,"Hub de transbordo Atlántico, enlace con América y Med."
Savannah,EE. UU.,4.93,Principal del Sureste; creciente intercambio con México.
Santos,Brasil,4.78,Principal en Sudamérica Atlántica; comercio intra-América.
Colón,Panamá,4.87,Transbordo Caribe/Canal; pivot para América.
